"","V1","V2","V3","V4","score","label","id"
"794",-2.286,-5.4484,5.8039,0.88231,1,"TRAIN","P_794"
"769",-1.7582,2.7397,-2.5323,-2.234,1,"TRAIN","P_769"
"1165",-6.3364,9.2848,0.014275,-6.7844,1,"TRAIN","P_1165"
"846",-3.8826,4.898,-0.92311,-5.0801,1,"TRAIN","P_846"
"1071",-3.1423,-13.0365,15.6773,-0.66165,1,"TRAIN","P_1071"
"1334",-2.8619,4.5193,-0.58123,-4.2629,1,"TRAIN","P_1334"
"1032",-1.8554,-9.6035,7.7764,-0.97716,1,"TRAIN","P_1032"
"936",-1.8448,1.254,0.27218,-1.0728,1,"TRAIN","P_936"
"962",-1.1859,-1.2519,2.2635,0.77239,1,"TRAIN","P_962"
"1013",-2.2677,3.2964,-2.2563,-2.4642,1,"TRAIN","P_1013"
"971",-2.3299,-9.9532,8.4756,-1.8733,1,"TRAIN","P_971"
"1276",-3.0986,-10.4602,8.9717,-2.3427,1,"TRAIN","P_1276"
"1228",-2.564,-1.7051,1.5026,0.32757,1,"TRAIN","P_1228"
"776",-0.36506,2.8928,-3.6461,-3.0603,1,"TRAIN","P_776"
"1018",-0.93587,-5.1008,4.5367,1.3866,1,"TRAIN","P_1018"
"780",-1.8187,-9.0366,9.0162,-0.12243,1,"TRAIN","P_780"
"1079",-0.37013,-5.554,4.7749,1.547,1,"TRAIN","P_1079"
"870",-3.3125,0.10139,0.55323,-0.2957,1,"TRAIN","P_870"
"1026",-1.1022,-5.8395,4.5641,0.68705,1,"TRAIN","P_1026"
"804",0.91315,3.3377,-4.0557,-1.6741,1,"TRAIN","P_804"
"9",3.2032,5.7588,-0.75345,-0.61251,0,"TRAIN","P_9"
"526",1.2746,8.8172,-1.5323,-1.7957,0,"TRAIN","P_526"
"49",3.9102,6.065,-2.4534,-0.68234,0,"TRAIN","P_49"
"757",4.0127,10.1477,-3.9366,-4.0728,0,"TRAIN","P_757"
"155",1.9358,8.1654,-0.023425,-2.2586,0,"TRAIN","P_155"
"271",3.8417,10.0215,-4.2699,-4.9159,0,"TRAIN","P_271"
"537",2.7659,0.66216,4.1494,-0.28406,0,"TRAIN","P_537"
"456",2.6682,10.216,-3.4414,-4.0069,0,"TRAIN","P_456"
"111",3.9922,-4.4676,3.7304,-0.1095,0,"TRAIN","P_111"
"573",5.504,10.3671,-4.413,-4.0211,0,"TRAIN","P_573"
"744",4.7926,1.7071,-0.051701,1.4926,0,"TRAIN","P_744"
"733",-2.7143,11.4535,2.1092,-3.9629,0,"TRAIN","P_733"
"583",4.0552,0.40143,1.4563,0.65343,0,"TRAIN","P_583"
"178",3.6582,5.6864,-1.7157,-0.23751,0,"TRAIN","P_178"
"274",2.6946,6.7976,-0.40301,0.44912,0,"TRAIN","P_274"
